city_type,open_formats,id,days_between_start_and_last_update,days_since_last_update,format_count,latitude,category_score,days_since_start,open_license_and_format_count,category_count,portal,dataset_score,open_formats_datasets,datasets,name,created_at,longitude,contact_email,contact_person,category_variance,open_datasets,dataset_rank,formats_rank,last_update_rank,category_rank,category_variance_rank,dataset_score_rank,category_score_rank,dataset_rank_std,formats_rank_std,last_update_rank_std,category_rank_std,category_variance_rank_std,dataset_score_rank_std,category_score_rank_std,overall_rank_data,overall_rank
Stadt,0,braunschweig,,29,5,52.27165645,0.5,,0,8,http://www.braunschweig.de/opengeodata,0,0,157,Braunschweig,2015-01-05T17:19:23.150563,10.5203138303942,,,625.2678571428571428571428571,8,22,15,40,24,68,50,5,24.71910112359550561797752809,21.12676056338028169014084507,56.33802816901408450704225352,27.90697674418604651162790698,79.06976744186046511627906977,100,13.88888888888888888888888889,62.37874128024542110786022759,51
Stadt,90,bremen,,0,9,53.0758099,0.5,,0,13,http://daten.bremen.de,0.9399092970521542,0,441,Bremen,2015-01-05T17:19:11.417586,8.80717,,Henning Sklorz,1478.602564102564102564102564,325,8,5,1,5,73,40,5,8.988764044943820224719101124,7.042253521126760563380281690,1.408450704225352112676056338,5.813953488372093023255813953,84.88372093023255813953488372,80.0,13.88888888888888888888888889,49.12244520749325535499074540,26
Stadt,0,burg-stargard,,,0,53.4956329,0,,0,0,,0,0,0,Burg Stargard,2015-01-05T17:19:45.850546,13.3096742,,"Tilo Lorenz, Bürgermeister und Joachim Jünger, Amtsvorsteher",,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,0,chemnitz,,1134,2,50.8322608,0,,0,3,,0.375,0,4,Chemnitz,2015-01-05T17:19:31.402148,12.9252977,,Katja Uhlemann,1.333333333333333333333333334,0,62,21,61,52,35,45,36,69.66292134831460674157303371,29.57746478873239436619718310,85.91549295774647887323943662,60.46511627906976744186046512,40.69767441860465116279069767,90.0,100,77.86884699889959414043641438,60
Stadt,0,cottbus,,1134,1,51.7567447,0,,0,2,,0.5,0,1,Cottbus,2015-01-05T17:19:25.984860,14.3357307,,,0,0,73,35,61,58,1,41,36,82.02247191011235955056179775,49.29577464788732394366197183,85.91549295774647887323943662,67.44186046511627906976744186,1.162790697674418604651162791,82.00,100,71.30932219919990678241290295,56
Stadt,0,crimmitschau,,,0,50.8153837,0,,0,0,,0,0,0,Crimmitschau,2015-01-05T17:19:53.066140,12.3890204,,,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,0,cunewalde,,,0,51.098454,0,,0,0,,0,0,0,Cunewalde,2015-01-05T17:19:39.653477,14.5154299,,Herr Bürgermeister Thomas Martolock,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,0,dessau,,,0,51.8311104,0,,0,0,,0,0,0,Dessau-Roßlau,2015-01-05T17:19:43.509747,12.2429261,,,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,0,dortmund,,,0,51.5142273,0,,0,0,,0,0,0,Dortmund,2015-01-05T17:19:51.171511,7.4652789,,,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,0,dresden,,,0,51.0493286,0,,0,4,,0,0,6,Dresden,2015-01-05T17:19:29.070093,13.7381437,,,2.2500,0,59,71,71,48,37,50,36,66.29213483146067415730337079,100,100,55.81395348837209302325581395,43.02325581395348837209302326,100,100,85.87339952965769949257073432,86
Stadt,0,dueren,,,0,50.7997308,0,,0,0,,0,0,0,Düren,2015-01-05T17:19:51.315199,6.4835199,,,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,171,duesseldorf,,0,5,51.2235376,0.5,,0,13,,1,0,97,Düsseldorf,2015-01-05T17:19:34.147253,6.7637565,,,174.6923076923076923076923077,60,26,15,1,5,58,13,5,29.21348314606741573033707865,21.12676056338028169014084507,1.408450704225352112676056338,5.813953488372093023255813953,67.44186046511627906976744186,26.00,13.88888888888888888888888889,27.63286339995084815056846795,9
Stadt,0,duisburg,,,0,51.44620175,0,,0,3,,0,0,15,Duisburg,2015-01-05T17:19:35.379001,6.742075968,,,13,0,47,71,71,52,41,50,36,52.80898876404494382022471910,100,100,60.46511627906976744186046512,47.67441860465116279069767442,100,100,85.45531748105566125482773330,84
Stadt,0,erfurt,,,0,50.9776268,0,,0,0,,0,0,0,Erfurt,2015-01-05T17:19:43.061041,11.0329359,,,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,0,essen,,,0,51.4572062,0,,0,0,,0,0,0,Essen,2015-01-05T17:19:51.616448,7.0114963,,OB Reinhard Paß,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,0,esslingen,,,0,48.7388603,0.5,,0,9,,0,0,33,Esslingen am Neckar,2015-01-05T17:19:29.307812,9.3010797,,Roland Karpentier,19.27777777777777777777777778,0,38,71,71,23,46,50,5,42.69662921348314606741573034,100,100,26.74418604651162790697674419,53.48837209302325581395348837,100,13.88888888888888888888888889,66.40790581540516509604023587,54
Stadt,0,floersheim-main,,,0,50.0207179,0,,0,0,,0,0,0,Flörsheim am Main,2015-01-05T17:19:44.822012,8.4266986,,,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,295,frankfurt,,0,10,50.12134215,0.5,,0,12,http://offenedaten.frankfurt.de,1.7848101265822784,0,79,Frankfurt am Main,2015-01-05T17:19:28.266295,8.661951186,,OB Peter Feldmann,15.90151515151515151515151514,77,28,2,1,9,43,5,5,31.46067415730337078651685393,2.816901408450704225352112676,1.408450704225352112676056338,10.46511627906976744186046512,50.0,10.0,13.88888888888888888888888889,18.15836861309540635952645069,2
Stadt,66,gelsenkirchen,,40,4,51.55622845,0.5,,0,12,,1,0,69,Gelsenkirchen,2015-01-05T17:19:29.887978,7.081511196,,OB Frank Baranowski,138.6060606060606060606060605,61,31,17,42,9,56,13,5,34.83146067415730337078651685,23.94366197183098591549295775,59.15492957746478873239436620,10.46511627906976744186046512,65.11627906976744186046511628,26.00,13.88888888888888888888888889,31.10655109707690232150414484,18
Stadt,0,gera,,,0,50.887824,0,,0,5,,0,0,3,Gera,2015-01-05T17:19:29.562130,12.08134408,,OB Frau Dr. Viola Hahn,0,0,67,71,71,39,1,50,36,75.28089887640449438202247191,100,100,45.34883720930232558139534884,1.162790697674418604651162791,100,100,79.96995035275673293105673449,63
Stadt,0,germersheim,,1003,1,49.2231,0.5,,0,7,,1,0,10,Germersheim,2015-01-05T17:19:29.184593,8.36389,,Dirk Franzen,0.9523809523809523809523809525,10,50,35,45,31,16,13,5,56.17977528089887640449438202,49.29577464788732394366197183,63.38028169014084507042253521,36.04651162790697674418604651,18.60465116279069767441860465,26.00,13.88888888888888888888888889,29.02258137858302871018903732,14
Stadt,0,guetersloh,,,0,51.9044291,0,,0,2,,0,0,1,Gütersloh,2015-01-05T17:19:22.360901,8.3799049,,Wolfgang Hein,0,0,73,71,71,58,1,50,36,82.02247191011235955056179775,100,100,67.44186046511627906976744186,1.162790697674418604651162791,100,100,81.74875881891821722107297749,73
Stadt,0,hagen,,,0,51.34155785,0,,0,0,,0,0,0,Hagen,2015-01-05T17:19:40.910012,7.485660298,,,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,0,hahnbach,,,0,49.5341163,0,,0,0,,0,0,0,Hahnbach,2015-01-05T17:19:45.712996,11.8030529,,Erster Bürgermeister Bernhard Lindner,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
Stadt,0,haimhausen,,,0,48.3157263,0,,0,0,,0,0,0,Haimhausen,2015-01-05T17:19:37.697011,11.5545047,,Ersten Bürgermeister Peter Felbermeier,,0,89,71,71,86,86,50,36,100,100,100,100,100,100,100,100.0000000000000041633363424,89
